,p_accelerometer_time,p_accelerometer_x,p_accelerometer_y,p_accelerometer_z
187,2023-05-10 13:34:50.764,9.3309965,3.530259,-2.6009912
188,2023-05-10 13:34:50.781,9.350157,3.539839,-2.5770411
189,2023-05-10 13:34:50.799,9.3309965,3.5254688,-2.5962012
190,2023-05-10 13:34:54.431,9.441168,3.5063088,-2.567461
191,2023-05-10 13:34:54.431,9.441168,3.4775686,-2.5914114
192,2023-05-10 13:34:54.431,9.412427,3.415298,-2.4572902
193,2023-05-10 13:34:54.431,9.436378,3.3578174,-2.3471193
194,2023-05-10 13:34:54.431,9.431587,3.3673975,-2.4141798
195,2023-05-10 13:34:54.432,9.393267,3.4584084,-2.5243506
196,2023-05-10 13:34:54.432,9.359736,3.558999,-2.548301
197,2023-05-10 13:34:54.432,9.335787,3.5685792,-2.548301
198,2023-05-10 13:34:54.432,9.388477,3.5110989,-2.5530908
199,2023-05-10 13:34:54.432,9.402847,3.4248781,-2.5818312
200,2023-05-10 13:34:54.432,9.335787,3.3817677,-2.5243506
201,2023-05-10 13:34:54.432,9.196876,3.4679885,-2.5004005
202,2023-05-10 13:34:54.432,9.115445,3.6164796,-2.4812403
203,2023-05-10 13:34:54.432,9.139395,3.7458107,-2.548301
204,2023-05-10 13:34:54.432,9.211246,3.8464015,-2.6584718
205,2023-05-10 13:34:54.446,9.316627,3.8224514,-2.668052
206,2023-05-10 13:34:54.472,9.441168,3.66438,-2.7638526
207,2023-05-10 13:34:54.491,9.455538,3.4631984,-2.8452833
208,2023-05-10 13:34:54.509,9.445957,3.3434474,-2.7255323
209,2023-05-10 13:34:54.534,9.412427,3.300337,-2.4908204
210,2023-05-10 13:34:54.555,9.374106,3.3626075,-2.3854396
211,2023-05-10 13:34:54.575,9.326206,3.4775686,-2.4525
212,2023-05-10 13:34:54.594,9.273516,3.5733693,-2.5195606
213,2023-05-10 13:34:54.613,9.211246,3.6116896,-2.567461
214,2023-05-10 13:34:54.636,9.220825,3.5877395,-2.6153615
215,2023-05-10 13:34:54.659,9.326206,3.5685792,-2.668052
216,2023-05-10 13:34:54.676,9.354947,3.6308498,-2.7207422
217,2023-05-10 13:34:54.691,9.3309965,3.7122805,-2.792593
218,2023-05-10 13:34:54.708,9.287886,3.784131,-2.8213332
219,2023-05-10 13:34:54.728,9.244776,3.8272414,-2.802173
220,2023-05-10 13:34:54.747,9.249566,3.788921,-2.7446926
221,2023-05-10 13:34:54.780,9.3309965,3.6500099,-2.6297317
222,2023-05-10 13:34:54.794,9.388477,3.4919386,-2.3950195
223,2023-05-10 13:34:54.809,9.417217,3.3099172,-2.2513185
224,2023-05-10 13:34:54.825,9.445957,3.2332766,-2.198628
225,2023-05-10 13:34:54.850,9.479487,3.180586,-2.3614893
226,2023-05-10 13:34:54.879,9.455538,3.180586,-2.4668703
227,2023-05-10 13:34:54.890,9.417217,3.2236965,-2.4093897
228,2023-05-10 13:34:54.913,9.436378,3.300337,-2.3662794
229,2023-05-10 13:34:54.927,9.441168,3.391348,-2.42376
230,2023-05-10 13:34:54.950,9.465117,3.4488282,-2.5530908
231,2023-05-10 13:34:54.967,9.393267,3.4631984,-2.6153615
232,2023-05-10 13:34:54.991,9.302257,3.5063088,-2.5914114
233,2023-05-10 13:34:55.015,9.307046,3.5063088,-2.543511
234,2023-05-10 13:34:55.032,9.350157,3.4775686,-2.4668703
235,,,,
236,,,,
237,,,,
238,,,,
239,,,,
240,,,,
241,,,,
242,,,,
243,,,,
244,,,,
