epoch (ms),time (-11:00),elapsed (s),x-axis (g),y-axis (g),z-axis (g)
1679949871991,2023-03-27T15:44:31.991,20.82,0.923,-0.268,0.299
1679949872011,2023-03-27T15:44:32.011,20.84,0.924,-0.265,0.298
1679949872031,2023-03-27T15:44:32.031,20.86,0.922,-0.271,0.292
1679949872051,2023-03-27T15:44:32.051,20.88,0.923,-0.274,0.292
1679949872071,2023-03-27T15:44:32.071,20.9,0.922,-0.272,0.296
1679949872091,2023-03-27T15:44:32.091,20.92,0.924,-0.269,0.298
1679949872111,2023-03-27T15:44:32.111,20.94,0.924,-0.274,0.295
1679949872131,2023-03-27T15:44:32.131,20.96,0.925,-0.275,0.296
1679949872151,2023-03-27T15:44:32.151,20.98,0.924,-0.276,0.294
1679949872171,2023-03-27T15:44:32.171,21,0.921,-0.276,0.291
1679949872191,2023-03-27T15:44:32.191,21.02,0.922,-0.273,0.297
1679949872211,2023-03-27T15:44:32.211,21.04,0.921,-0.272,0.297
1679949872231,2023-03-27T15:44:32.231,21.06,0.924,-0.272,0.297
1679949872251,2023-03-27T15:44:32.251,21.08,0.924,-0.271,0.295
1679949872271,2023-03-27T15:44:32.271,21.1,0.923,-0.27,0.295
1679949872291,2023-03-27T15:44:32.291,21.12,0.923,-0.269,0.297
1679949872311,2023-03-27T15:44:32.311,21.14,0.924,-0.268,0.298
1679949872331,2023-03-27T15:44:32.331,21.16,0.922,-0.267,0.299
1679949872351,2023-03-27T15:44:32.351,21.18,0.922,-0.265,0.301
1679949872371,2023-03-27T15:44:32.371,21.2,0.925,-0.26,0.302
1679949872391,2023-03-27T15:44:32.391,21.22,0.926,-0.259,0.3
1679949872411,2023-03-27T15:44:32.411,21.24,0.926,-0.263,0.299
1679949872431,2023-03-27T15:44:32.431,21.26,0.924,-0.27,0.296
1679949872451,2023-03-27T15:44:32.451,21.28,0.922,-0.271,0.294
1679949872471,2023-03-27T15:44:32.471,21.3,0.923,-0.269,0.297
1679949872491,2023-03-27T15:44:32.491,21.32,0.922,-0.269,0.296
1679949872511,2023-03-27T15:44:32.511,21.34,0.921,-0.269,0.299
1679949872531,2023-03-27T15:44:32.531,21.36,0.924,-0.267,0.298
1679949872551,2023-03-27T15:44:32.551,21.38,0.923,-0.268,0.295
1679949872571,2023-03-27T15:44:32.571,21.4,0.925,-0.266,0.297
1679949872591,2023-03-27T15:44:32.591,21.42,0.927,-0.266,0.3
1679949872611,2023-03-27T15:44:32.611,21.44,0.925,-0.271,0.294
1679949872631,2023-03-27T15:44:32.631,21.46,0.926,-0.277,0.291
1679949872651,2023-03-27T15:44:32.651,21.48,0.923,-0.275,0.294
1679949872671,2023-03-27T15:44:32.671,21.5,0.921,-0.265,0.3
1679949872691,2023-03-27T15:44:32.691,21.52,0.924,-0.266,0.299
1679949872711,2023-03-27T15:44:32.711,21.54,0.926,-0.275,0.295
1679949872731,2023-03-27T15:44:32.731,21.56,0.923,-0.282,0.289
1679949872751,2023-03-27T15:44:32.751,21.58,0.916,-0.283,0.288
1679949872771,2023-03-27T15:44:32.771,21.6,0.917,-0.28,0.291
1679949872791,2023-03-27T15:44:32.791,21.62,0.92,-0.275,0.294
1679949872811,2023-03-27T15:44:32.811,21.64,0.925,-0.275,0.296
1679949872831,2023-03-27T15:44:32.831,21.66,0.925,-0.277,0.292
1679949872851,2023-03-27T15:44:32.851,21.68,0.924,-0.277,0.292
1679949872871,2023-03-27T15:44:32.871,21.7,0.923,-0.278,0.293
1679949872891,2023-03-27T15:44:32.891,21.72,0.927,-0.279,0.295
1679949872911,2023-03-27T15:44:32.911,21.74,0.925,-0.281,0.29
1679949872931,2023-03-27T15:44:32.931,21.76,0.921,-0.277,0.293
1679949872951,2023-03-27T15:44:32.951,21.78,0.919,-0.274,0.296
1679949872971,2023-03-27T15:44:32.971,21.8,0.92,-0.271,0.295
1679949872991,2023-03-27T15:44:32.991,21.82,0.923,-0.274,0.293
1679949873011,2023-03-27T15:44:33.011,21.84,0.923,-0.275,0.29
1679949873031,2023-03-27T15:44:33.031,21.86,0.922,-0.28,0.289
1679949873051,2023-03-27T15:44:33.051,21.88,0.92,-0.284,0.29
1679949873071,2023-03-27T15:44:33.071,21.9,0.921,-0.286,0.29
1679949873091,2023-03-27T15:44:33.091,21.92,0.919,-0.287,0.29
1679949873111,2023-03-27T15:44:33.111,21.94,0.922,-0.285,0.294
1679949873131,2023-03-27T15:44:33.131,21.96,0.922,-0.282,0.292
1679949873151,2023-03-27T15:44:33.151,21.98,0.922,-0.281,0.288
1679949873171,2023-03-27T15:44:33.171,22,0.925,-0.275,0.294
1679949873191,2023-03-27T15:44:33.191,22.02,0.925,-0.272,0.296
1679949873211,2023-03-27T15:44:33.211,22.04,0.923,-0.276,0.291
1679949873231,2023-03-27T15:44:33.231,22.06,0.922,-0.281,0.29
1679949873251,2023-03-27T15:44:33.251,22.08,0.923,-0.279,0.295
1679949873271,2023-03-27T15:44:33.271,22.1,0.924,-0.28,0.295
1679949873291,2023-03-27T15:44:33.291,22.12,0.922,-0.286,0.289
1679949873311,2023-03-27T15:44:33.311,22.14,0.92,-0.289,0.289
1679949873331,2023-03-27T15:44:33.331,22.16,0.92,-0.288,0.29
1679949873351,2023-03-27T15:44:33.351,22.18,0.918,-0.284,0.292
1679949873371,2023-03-27T15:44:33.371,22.2,0.919,-0.281,0.294
1679949873391,2023-03-27T15:44:33.391,22.22,0.922,-0.282,0.294
1679949873411,2023-03-27T15:44:33.411,22.24,0.923,-0.28,0.29
1679949873431,2023-03-27T15:44:33.431,22.26,0.922,-0.28,0.291
1679949873451,2023-03-27T15:44:33.451,22.28,0.92,-0.277,0.294
1679949873471,2023-03-27T15:44:33.471,22.3,0.921,-0.275,0.296
1679949873491,2023-03-27T15:44:33.491,22.32,0.924,-0.277,0.294
1679949873511,2023-03-27T15:44:33.511,22.34,0.924,-0.283,0.292
1679949873531,2023-03-27T15:44:33.531,22.36,0.922,-0.283,0.29
1679949873551,2023-03-27T15:44:33.551,22.38,0.921,-0.281,0.293
1679949873571,2023-03-27T15:44:33.571,22.4,0.919,-0.281,0.294
1679949873591,2023-03-27T15:44:33.591,22.42,0.921,-0.283,0.294
1679949873611,2023-03-27T15:44:33.611,22.44,0.923,-0.284,0.295
1679949873631,2023-03-27T15:44:33.631,22.46,0.922,-0.281,0.292
1679949873651,2023-03-27T15:44:33.651,22.48,0.919,-0.281,0.292
1679949873671,2023-03-27T15:44:33.671,22.5,0.916,-0.282,0.294
1679949873691,2023-03-27T15:44:33.691,22.52,0.921,-0.279,0.297
1679949873711,2023-03-27T15:44:33.711,22.54,0.923,-0.277,0.295
1679949873731,2023-03-27T15:44:33.731,22.56,0.922,-0.274,0.294
1679949873751,2023-03-27T15:44:33.751,22.58,0.922,-0.273,0.296
1679949873771,2023-03-27T15:44:33.771,22.6,0.926,-0.271,0.299
1679949873791,2023-03-27T15:44:33.791,22.62,0.923,-0.278,0.293
1679949873811,2023-03-27T15:44:33.811,22.64,0.92,-0.281,0.291
1679949873831,2023-03-27T15:44:33.831,22.66,0.92,-0.281,0.295
1679949873851,2023-03-27T15:44:33.851,22.68,0.92,-0.278,0.298
1679949873871,2023-03-27T15:44:33.871,22.7,0.922,-0.275,0.296
1679949873891,2023-03-27T15:44:33.891,22.72,0.924,-0.273,0.297
1679949873911,2023-03-27T15:44:33.911,22.74,0.922,-0.28,0.294
1679949873931,2023-03-27T15:44:33.931,22.76,0.919,-0.281,0.293
1679949873951,2023-03-27T15:44:33.951,22.78,0.92,-0.278,0.294
1679949873971,2023-03-27T15:44:33.971,22.8,0.92,-0.273,0.295
1679949873991,2023-03-27T15:44:33.991,22.82,0.922,-0.271,0.296
1679949874011,2023-03-27T15:44:34.011,22.84,0.922,-0.269,0.296
1679949874031,2023-03-27T15:44:34.031,22.86,0.924,-0.269,0.297
1679949874051,2023-03-27T15:44:34.051,22.88,0.927,-0.271,0.296
1679949874071,2023-03-27T15:44:34.071,22.9,0.925,-0.27,0.294
1679949874091,2023-03-27T15:44:34.091,22.92,0.923,-0.269,0.293
1679949874111,2023-03-27T15:44:34.111,22.94,0.921,-0.268,0.294
1679949874131,2023-03-27T15:44:34.131,22.96,0.921,-0.267,0.297
1679949874151,2023-03-27T15:44:34.151,22.98,0.924,-0.267,0.297
1679949874171,2023-03-27T15:44:34.171,23,0.925,-0.268,0.297
1679949874191,2023-03-27T15:44:34.191,23.02,0.924,-0.271,0.296
1679949874211,2023-03-27T15:44:34.211,23.04,0.92,-0.273,0.295
1679949874231,2023-03-27T15:44:34.231,23.06,0.922,-0.276,0.295
1679949874251,2023-03-27T15:44:34.251,23.08,0.923,-0.277,0.297
1679949874271,2023-03-27T15:44:34.271,23.1,0.924,-0.274,0.296
1679949874291,2023-03-27T15:44:34.291,23.12,0.923,-0.273,0.295
1679949874311,2023-03-27T15:44:34.311,23.14,0.924,-0.27,0.296
1679949874331,2023-03-27T15:44:34.331,23.16,0.927,-0.263,0.301
1679949874351,2023-03-27T15:44:34.351,23.18,0.925,-0.265,0.3
1679949874371,2023-03-27T15:44:34.371,23.2,0.919,-0.271,0.293
1679949874391,2023-03-27T15:44:34.391,23.22,0.919,-0.27,0.296
1679949874411,2023-03-27T15:44:34.411,23.24,0.926,-0.267,0.298
1679949874431,2023-03-27T15:44:34.431,23.26,0.926,-0.268,0.297
1679949874451,2023-03-27T15:44:34.451,23.28,0.926,-0.267,0.298
1679949874471,2023-03-27T15:44:34.471,23.3,0.924,-0.268,0.299
1679949874491,2023-03-27T15:44:34.491,23.32,0.921,-0.268,0.297
1679949874511,2023-03-27T15:44:34.511,23.34,0.922,-0.267,0.294
1679949874531,2023-03-27T15:44:34.531,23.36,0.924,-0.263,0.298
1679949874551,2023-03-27T15:44:34.551,23.38,0.926,-0.262,0.298
1679949874571,2023-03-27T15:44:34.571,23.4,0.926,-0.261,0.296
1679949874591,2023-03-27T15:44:34.591,23.42,0.925,-0.26,0.298
1679949874611,2023-03-27T15:44:34.611,23.44,0.924,-0.258,0.3
1679949874631,2023-03-27T15:44:34.631,23.46,0.927,-0.259,0.302
1679949874651,2023-03-27T15:44:34.651,23.48,0.927,-0.262,0.298
1679949874671,2023-03-27T15:44:34.671,23.5,0.925,-0.263,0.297
1679949874691,2023-03-27T15:44:34.691,23.52,0.924,-0.262,0.299
1679949874711,2023-03-27T15:44:34.711,23.54,0.924,-0.258,0.301
1679949874731,2023-03-27T15:44:34.731,23.56,0.925,-0.258,0.301
1679949874751,2023-03-27T15:44:34.751,23.58,0.924,-0.257,0.301
1679949874771,2023-03-27T15:44:34.771,23.6,0.927,-0.256,0.302
1679949874791,2023-03-27T15:44:34.791,23.62,0.928,-0.257,0.3
1679949874811,2023-03-27T15:44:34.811,23.64,0.922,-0.262,0.3
1679949874831,2023-03-27T15:44:34.831,23.66,0.921,-0.264,0.299
1679949874851,2023-03-27T15:44:34.851,23.68,0.926,-0.264,0.297
1679949874871,2023-03-27T15:44:34.871,23.7,0.927,-0.262,0.299
1679949874891,2023-03-27T15:44:34.891,23.72,0.927,-0.257,0.302
1679949874911,2023-03-27T15:44:34.911,23.74,0.921,-0.258,0.301
1679949874931,2023-03-27T15:44:34.931,23.76,0.921,-0.263,0.299
1679949874951,2023-03-27T15:44:34.951,23.78,0.927,-0.263,0.299
1679949874971,2023-03-27T15:44:34.971,23.8,0.927,-0.259,0.301
1679949874991,2023-03-27T15:44:34.991,23.82,0.926,-0.258,0.301
1679949875011,2023-03-27T15:44:35.011,23.84,0.927,-0.262,0.299
1679949875031,2023-03-27T15:44:35.031,23.86,0.925,-0.263,0.296
1679949875051,2023-03-27T15:44:35.051,23.88,0.923,-0.265,0.295
1679949875071,2023-03-27T15:44:35.071,23.9,0.924,-0.265,0.298
1679949875091,2023-03-27T15:44:35.091,23.92,0.926,-0.262,0.298
1679949875111,2023-03-27T15:44:35.111,23.94,0.928,-0.262,0.297
1679949875131,2023-03-27T15:44:35.131,23.96,0.927,-0.263,0.296
1679949875151,2023-03-27T15:44:35.151,23.98,0.925,-0.263,0.296
1679949875171,2023-03-27T15:44:35.171,24,0.924,-0.262,0.298
1679949875191,2023-03-27T15:44:35.191,24.02,0.924,-0.263,0.299
1679949875211,2023-03-27T15:44:35.211,24.04,0.923,-0.26,0.299
1679949875231,2023-03-27T15:44:35.231,24.06,0.92,-0.259,0.298
1679949875251,2023-03-27T15:44:35.251,24.08,0.924,-0.261,0.299
1679949875271,2023-03-27T15:44:35.271,24.1,0.926,-0.26,0.3
1679949875291,2023-03-27T15:44:35.291,24.12,0.924,-0.263,0.297
1679949875311,2023-03-27T15:44:35.311,24.14,0.922,-0.266,0.297
1679949875331,2023-03-27T15:44:35.331,24.16,0.924,-0.266,0.297
1679949875351,2023-03-27T15:44:35.351,24.18,0.924,-0.264,0.301
1679949875371,2023-03-27T15:44:35.371,24.2,0.923,-0.262,0.301
1679949875391,2023-03-27T15:44:35.391,24.22,0.927,-0.261,0.298
1679949875411,2023-03-27T15:44:35.411,24.24,0.928,-0.26,0.3
1679949875431,2023-03-27T15:44:35.431,24.26,0.928,-0.256,0.301
1679949875451,2023-03-27T15:44:35.451,24.28,0.923,-0.26,0.296
1679949875471,2023-03-27T15:44:35.471,24.3,0.921,-0.267,0.294
1679949875491,2023-03-27T15:44:35.491,24.32,0.922,-0.269,0.295
1679949875511,2023-03-27T15:44:35.511,24.34,0.925,-0.263,0.299
1679949875531,2023-03-27T15:44:35.531,24.36,0.93,-0.262,0.298
1679949875551,2023-03-27T15:44:35.551,24.38,0.927,-0.267,0.294
1679949875571,2023-03-27T15:44:35.571,24.4,0.924,-0.272,0.292
1679949875591,2023-03-27T15:44:35.591,24.42,0.924,-0.272,0.293
1679949875611,2023-03-27T15:44:35.611,24.44,0.924,-0.269,0.294
1679949875631,2023-03-27T15:44:35.631,24.46,0.923,-0.265,0.298
1679949875651,2023-03-27T15:44:35.651,24.48,0.925,-0.261,0.299
1679949875671,2023-03-27T15:44:35.671,24.5,0.926,-0.261,0.299
1679949875691,2023-03-27T15:44:35.691,24.52,0.925,-0.264,0.297
1679949875711,2023-03-27T15:44:35.711,24.54,0.925,-0.267,0.296
1679949875731,2023-03-27T15:44:35.731,24.56,0.924,-0.271,0.295
1679949875751,2023-03-27T15:44:35.751,24.58,0.923,-0.272,0.295
1679949875771,2023-03-27T15:44:35.771,24.6,0.924,-0.267,0.299
1679949875791,2023-03-27T15:44:35.791,24.62,0.926,-0.266,0.299
1679949875811,2023-03-27T15:44:35.811,24.64,0.922,-0.264,0.296
1679949875831,2023-03-27T15:44:35.831,24.66,0.923,-0.262,0.298
1679949875851,2023-03-27T15:44:35.851,24.68,0.926,-0.262,0.299
1679949875871,2023-03-27T15:44:35.871,24.7,0.925,-0.265,0.297
1679949875891,2023-03-27T15:44:35.891,24.72,0.924,-0.266,0.3
1679949875911,2023-03-27T15:44:35.911,24.74,0.924,-0.267,0.3
1679949875931,2023-03-27T15:44:35.931,24.76,0.923,-0.268,0.297
1679949875951,2023-03-27T15:44:35.951,24.78,0.927,-0.262,0.302
1679949875971,2023-03-27T15:44:35.971,24.8,0.926,-0.261,0.3
1679949875991,2023-03-27T15:44:35.991,24.82,0.921,-0.268,0.296
1679949876011,2023-03-27T15:44:36.011,24.84,0.922,-0.273,0.294
1679949876031,2023-03-27T15:44:36.031,24.86,0.923,-0.273,0.295
1679949876051,2023-03-27T15:44:36.051,24.88,0.924,-0.27,0.298
1679949876071,2023-03-27T15:44:36.071,24.9,0.925,-0.269,0.297
1679949876091,2023-03-27T15:44:36.091,24.92,0.923,-0.272,0.297
1679949876111,2023-03-27T15:44:36.111,24.94,0.924,-0.272,0.297
1679949876131,2023-03-27T15:44:36.131,24.96,0.922,-0.271,0.295
1679949876151,2023-03-27T15:44:36.151,24.98,0.921,-0.268,0.297
1679949876171,2023-03-27T15:44:36.171,25,0.924,-0.266,0.297
1679949876191,2023-03-27T15:44:36.191,25.02,0.925,-0.265,0.297
1679949876211,2023-03-27T15:44:36.211,25.04,0.925,-0.262,0.295
1679949876231,2023-03-27T15:44:36.231,25.06,0.923,-0.265,0.296
1679949876251,2023-03-27T15:44:36.251,25.08,0.924,-0.266,0.295
1679949876271,2023-03-27T15:44:36.271,25.1,0.924,-0.266,0.296
1679949876291,2023-03-27T15:44:36.291,25.12,0.925,-0.266,0.297
1679949876311,2023-03-27T15:44:36.311,25.14,0.925,-0.269,0.298
1679949876331,2023-03-27T15:44:36.331,25.16,0.926,-0.271,0.295
1679949876351,2023-03-27T15:44:36.351,25.18,0.923,-0.273,0.296
1679949876371,2023-03-27T15:44:36.371,25.2,0.921,-0.271,0.294
1679949876391,2023-03-27T15:44:36.391,25.22,0.923,-0.268,0.298
1679949876411,2023-03-27T15:44:36.411,25.24,0.925,-0.268,0.299
1679949876431,2023-03-27T15:44:36.431,25.26,0.926,-0.269,0.298
1679949876451,2023-03-27T15:44:36.451,25.28,0.924,-0.272,0.297
1679949876471,2023-03-27T15:44:36.471,25.3,0.92,-0.274,0.291
1679949876491,2023-03-27T15:44:36.491,25.32,0.922,-0.271,0.296
1679949876511,2023-03-27T15:44:36.511,25.34,0.926,-0.264,0.3
1679949876531,2023-03-27T15:44:36.531,25.36,0.924,-0.264,0.299
1679949876551,2023-03-27T15:44:36.551,25.38,0.923,-0.268,0.296
1679949876571,2023-03-27T15:44:36.571,25.4,0.923,-0.269,0.297
1679949876591,2023-03-27T15:44:36.591,25.42,0.925,-0.266,0.296
1679949876611,2023-03-27T15:44:36.611,25.44,0.925,-0.267,0.296
1679949876631,2023-03-27T15:44:36.631,25.46,0.925,-0.271,0.295
1679949876651,2023-03-27T15:44:36.651,25.48,0.923,-0.275,0.294
1679949876671,2023-03-27T15:44:36.671,25.5,0.922,-0.277,0.292
1679949876691,2023-03-27T15:44:36.691,25.52,0.923,-0.273,0.295
1679949876711,2023-03-27T15:44:36.711,25.54,0.924,-0.27,0.296
1679949876731,2023-03-27T15:44:36.731,25.56,0.923,-0.27,0.295
1679949876751,2023-03-27T15:44:36.751,25.58,0.924,-0.271,0.293
1679949876771,2023-03-27T15:44:36.771,25.6,0.924,-0.272,0.292
1679949876791,2023-03-27T15:44:36.791,25.62,0.92,-0.272,0.293
1679949876811,2023-03-27T15:44:36.811,25.64,0.922,-0.27,0.293
1679949876831,2023-03-27T15:44:36.831,25.66,0.925,-0.27,0.295
1679949876851,2023-03-27T15:44:36.851,25.68,0.924,-0.271,0.294
1679949876871,2023-03-27T15:44:36.871,25.7,0.924,-0.269,0.297
1679949876891,2023-03-27T15:44:36.891,25.72,0.926,-0.27,0.295
1679949876911,2023-03-27T15:44:36.911,25.74,0.924,-0.271,0.292
1679949876931,2023-03-27T15:44:36.931,25.76,0.922,-0.269,0.295
1679949876951,2023-03-27T15:44:36.951,25.78,0.925,-0.269,0.296
1679949876971,2023-03-27T15:44:36.971,25.8,0.924,-0.273,0.294
1679949876991,2023-03-27T15:44:36.991,25.82,0.924,-0.276,0.294
1679949877011,2023-03-27T15:44:37.011,25.84,0.925,-0.275,0.293
1679949877031,2023-03-27T15:44:37.031,25.86,0.922,-0.274,0.292
1679949877051,2023-03-27T15:44:37.051,25.88,0.921,-0.272,0.295
1679949877071,2023-03-27T15:44:37.071,25.9,0.927,-0.267,0.3
1679949877091,2023-03-27T15:44:37.091,25.92,0.925,-0.268,0.294
1679949877111,2023-03-27T15:44:37.111,25.94,0.921,-0.275,0.294
1679949877131,2023-03-27T15:44:37.131,25.96,0.921,-0.273,0.295
1679949877151,2023-03-27T15:44:37.151,25.98,0.923,-0.27,0.293
1679949877171,2023-03-27T15:44:37.171,26,0.925,-0.271,0.294
1679949877191,2023-03-27T15:44:37.191,26.02,0.924,-0.274,0.293
1679949877211,2023-03-27T15:44:37.211,26.04,0.922,-0.277,0.29
1679949877231,2023-03-27T15:44:37.231,26.06,0.922,-0.278,0.289
1679949877251,2023-03-27T15:44:37.251,26.08,0.923,-0.277,0.291
1679949877271,2023-03-27T15:44:37.271,26.1,0.924,-0.276,0.294
1679949877291,2023-03-27T15:44:37.291,26.12,0.926,-0.276,0.292
1679949877311,2023-03-27T15:44:37.311,26.14,0.925,-0.274,0.291
1679949877331,2023-03-27T15:44:37.331,26.16,0.925,-0.272,0.292
1679949877351,2023-03-27T15:44:37.351,26.18,0.924,-0.275,0.291
1679949877371,2023-03-27T15:44:37.371,26.2,0.922,-0.277,0.291
1679949877391,2023-03-27T15:44:37.391,26.22,0.922,-0.275,0.291
1679949877411,2023-03-27T15:44:37.411,26.24,0.925,-0.276,0.292
1679949877431,2023-03-27T15:44:37.431,26.26,0.923,-0.278,0.289
1679949877451,2023-03-27T15:44:37.451,26.28,0.919,-0.282,0.289
1679949877471,2023-03-27T15:44:37.471,26.3,0.921,-0.28,0.29
1679949877491,2023-03-27T15:44:37.491,26.32,0.922,-0.281,0.29
1679949877511,2023-03-27T15:44:37.511,26.34,0.92,-0.281,0.29
1679949877531,2023-03-27T15:44:37.531,26.36,0.921,-0.278,0.293
1679949877551,2023-03-27T15:44:37.551,26.38,0.923,-0.278,0.292
1679949877571,2023-03-27T15:44:37.571,26.4,0.922,-0.279,0.292
1679949877591,2023-03-27T15:44:37.591,26.42,0.924,-0.279,0.293
1679949877611,2023-03-27T15:44:37.611,26.44,0.924,-0.278,0.292
1679949877631,2023-03-27T15:44:37.631,26.46,0.921,-0.277,0.291
1679949877651,2023-03-27T15:44:37.651,26.48,0.924,-0.274,0.296
1679949877671,2023-03-27T15:44:37.671,26.5,0.928,-0.273,0.296
1679949877691,2023-03-27T15:44:37.691,26.52,0.924,-0.279,0.29
1679949877711,2023-03-27T15:44:37.711,26.54,0.92,-0.283,0.288
1679949877731,2023-03-27T15:44:37.731,26.56,0.92,-0.283,0.29
1679949877751,2023-03-27T15:44:37.751,26.58,0.922,-0.279,0.293
1679949877771,2023-03-27T15:44:37.771,26.6,0.923,-0.28,0.291
1679949877791,2023-03-27T15:44:37.791,26.62,0.922,-0.281,0.288
1679949877811,2023-03-27T15:44:37.811,26.64,0.921,-0.283,0.287
1679949877831,2023-03-27T15:44:37.831,26.66,0.919,-0.286,0.288
1679949877851,2023-03-27T15:44:37.851,26.68,0.921,-0.285,0.292
1679949877871,2023-03-27T15:44:37.871,26.7,0.922,-0.28,0.291
1679949877891,2023-03-27T15:44:37.891,26.72,0.924,-0.278,0.29
1679949877911,2023-03-27T15:44:37.911,26.74,0.923,-0.279,0.292
1679949877931,2023-03-27T15:44:37.931,26.76,0.923,-0.28,0.29
1679949877951,2023-03-27T15:44:37.951,26.78,0.923,-0.281,0.289
1679949877971,2023-03-27T15:44:37.971,26.8,0.923,-0.281,0.29
1679949877991,2023-03-27T15:44:37.991,26.82,0.923,-0.279,0.291
1679949878011,2023-03-27T15:44:38.011,26.84,0.923,-0.278,0.291
1679949878031,2023-03-27T15:44:38.031,26.86,0.922,-0.28,0.289
1679949878051,2023-03-27T15:44:38.051,26.88,0.922,-0.281,0.292
1679949878071,2023-03-27T15:44:38.071,26.9,0.923,-0.277,0.293
1679949878091,2023-03-27T15:44:38.091,26.92,0.92,-0.277,0.291
1679949878111,2023-03-27T15:44:38.111,26.94,0.919,-0.277,0.292
1679949878131,2023-03-27T15:44:38.131,26.96,0.923,-0.279,0.294
1679949878151,2023-03-27T15:44:38.151,26.98,0.925,-0.282,0.29
1679949878171,2023-03-27T15:44:38.171,27,0.922,-0.283,0.29
1679949878191,2023-03-27T15:44:38.191,27.02,0.923,-0.281,0.291
1679949878211,2023-03-27T15:44:38.211,27.04,0.921,-0.278,0.29
1679949878231,2023-03-27T15:44:38.231,27.06,0.92,-0.274,0.291
1679949878251,2023-03-27T15:44:38.251,27.08,0.925,-0.269,0.298
1679949878271,2023-03-27T15:44:38.271,27.1,0.922,-0.27,0.294
1679949878291,2023-03-27T15:44:38.291,27.12,0.918,-0.275,0.289
1679949878311,2023-03-27T15:44:38.311,27.14,0.921,-0.277,0.291
1679949878331,2023-03-27T15:44:38.331,27.16,0.924,-0.274,0.294
1679949878351,2023-03-27T15:44:38.351,27.18,0.924,-0.275,0.294
1679949878371,2023-03-27T15:44:38.371,27.2,0.925,-0.278,0.291
1679949878391,2023-03-27T15:44:38.391,27.22,0.924,-0.283,0.291
1679949878411,2023-03-27T15:44:38.411,27.24,0.923,-0.286,0.289
1679949878431,2023-03-27T15:44:38.431,27.26,0.921,-0.279,0.298
1679949878451,2023-03-27T15:44:38.451,27.28,0.917,-0.275,0.292
1679949878471,2023-03-27T15:44:38.471,27.3,0.921,-0.274,0.292
1679949878491,2023-03-27T15:44:38.491,27.32,0.923,-0.271,0.289
1679949878511,2023-03-27T15:44:38.511,27.34,0.928,-0.267,0.295
1679949878531,2023-03-27T15:44:38.531,27.36,0.927,-0.268,0.294
1679949878551,2023-03-27T15:44:38.551,27.38,0.924,-0.27,0.293
1679949878571,2023-03-27T15:44:38.571,27.4,0.923,-0.271,0.295
1679949878591,2023-03-27T15:44:38.591,27.42,0.922,-0.269,0.294
1679949878611,2023-03-27T15:44:38.611,27.44,0.922,-0.267,0.298
